epoch,val_loss,val_acc,val_f1
1,1.4511736355446003,0.5113468906572355,0.05879797753114629
2,1.2530456000456103,0.5585027998821103,0.16844654537363218
3,0.9840997040823654,0.6410256410256411,0.3395815292802936
4,0.8186211021686042,0.6864132036545829,0.49149763424277143
5,0.7033481179840035,0.7379899793692897,0.5800515170729942
6,0.76634699554631,0.7132331270262304,0.6453370561068431
7,0.5946700876509702,0.7801355732390215,0.7336414388543538
8,0.59383902721176,0.7954612437371058,0.7402306375912683
9,0.5513178580613048,0.8155025051576775,0.7423201700342704
10,0.4665943762692795,0.842911877394636,0.798876495126859
11,0.46482457324789184,0.8508694370763337,0.7909316766065024
12,0.47198162881519506,0.8582375478927203,0.810010594909792
13,0.5188861422648188,0.8520483348069555,0.7882847144659142
14,0.4953779636416584,0.8573533745947539,0.8106668546715874
15,0.4699877824443522,0.8694370763336281,0.8307026892387891
16,0.5196168970066571,0.8582375478927203,0.829533751484057
17,0.5308448575691458,0.8585322723253758,0.8332126416014293
18,0.48881218754858885,0.8753315649867374,0.837247871666668
19,0.5080232053754756,0.874447391688771,0.8415603992234975
20,0.4883390053022325,0.878278809313292,0.8604976699284038
21,0.497559816046743,0.8679634541703507,0.8287708013433025
22,0.5704073044837935,0.8567639257294429,0.8400106521947591
23,0.4779245957712798,0.8859416445623343,0.8527272427517825
24,0.4887111369288404,0.8835838491010904,0.8476913043212939
25,0.4749097645113512,0.8891836133215444,0.8468449535159009
