epoch,val_loss,val_acc,val_f1
1,0.8816390913669709,0.6637194223401119,0.5561724118169766
2,0.6342417365974851,0.7642204538756263,0.7094165726549596
3,0.5248657904082427,0.8172708517536104,0.7823319169320472
4,0.4206569525930617,0.8576480990274093,0.8375235301241303
5,0.4283372594250573,0.8691423519009726,0.8502113479577318
6,0.4116258712968341,0.8835838491010904,0.8836330347550618
7,0.4304377528476632,0.883289124668435,0.8650600131483545
8,0.5220158753175013,0.8659003831417624,0.8540986207935816
9,0.411260995970763,0.8921308576480991,0.8728263710330159
10,0.4279630023003038,0.8930150309460654,0.8892621141011927
11,0.4229802187829692,0.8900677866195108,0.876534713943745
12,0.4189051554227869,0.8992042440318302,0.8892674150351065
13,0.44969257683044783,0.8915414087827881,0.8753280785599232
14,0.4122172687105679,0.9033303860890067,0.8875453141591674
15,0.4439548881545542,0.9000884173297966,0.8855459319719384
16,0.45814989289458563,0.8953728264073092,0.8800349369007833
17,0.40564362259788644,0.9074565281461833,0.8990686995316164
18,0.4584090454348673,0.8953728264073092,0.8933500552181973
19,0.43679519859358185,0.900972590627763,0.8965316124604471
