,precision,recall,f1-score,support
0,0.5758513931888545,0.5375722543352601,0.5560538116591929,346.0
1,0.6782178217821783,0.6447058823529411,0.661037394451146,425.0
2,0.7937384898710865,0.8795918367346939,0.8344627299128751,490.0
3,0.9338747099767981,0.9106334841628959,0.9221076746849943,1768.0
4,0.6945812807881774,0.7601078167115903,0.7258687258687259,371.0
accuracy,0.8185294117647058,0.8185294117647058,0.8185294117647058,0.8185294117647058
macro avg,0.735252739121419,0.7465222548594763,0.7399060673153868,3400.0
weighted avg,0.819176223161469,0.8185294117647058,0.8181782103745571,3400.0
