epoch,val_loss,val_acc,val_f1
1,1.0142891001370218,0.6206896551724138,0.4339389310021586
2,0.5250505044176761,0.8072502210433244,0.7327966618927287
3,0.40837190742604434,0.861184792219275,0.8185397413250403
4,0.382234231554321,0.8644267609784851,0.8268241006017654
5,0.41860193927142836,0.8682581786030061,0.8321877833257763
6,0.3498354433239136,0.8953728264073092,0.8599238151987659
7,0.4319486612679342,0.8844680223990569,0.8746278272352256
8,0.3871675958003767,0.8971411730032419,0.8660445722118749
9,0.3533319979210824,0.8980253463012083,0.8810031276475752
10,0.38695301250091113,0.9042145593869731,0.8854523712110747
11,0.4133314593938714,0.8977306218685529,0.8917638569517279
12,0.38044937221059594,0.9024462127910404,0.8806428920092256
13,0.41479234143749905,0.9000884173297966,0.8805010883834935
14,0.38020635498267236,0.9062776304155614,0.8974539187499896
15,0.39201198017097477,0.905393457117595,0.9066346608870997
16,0.4023676623422674,0.9027409372236959,0.8973499218375401
