epoch,val_loss,val_acc,val_f1
1,0.9276214582776582,0.6451517830828176,0.3776810784672085
2,0.614710883030461,0.7677571470674919,0.6228857380803482
3,0.5401858904536951,0.8107869142351901,0.7324564003977444
4,0.41447642879319135,0.8520483348069555,0.7916047571112764
5,0.45603299871867486,0.8532272325375774,0.7946713269333809
6,0.46237540014812517,0.8626584143825523,0.7961413232251112
7,0.44278504003779273,0.8720895962275272,0.8395648859986659
8,0.43827252616109846,0.8726790450928382,0.843906659562155
9,0.4554435969050111,0.8747421161214265,0.827027422039416
10,0.45440209981569313,0.8841732979664014,0.8527922442275631
11,0.46932630181955,0.8850574712643678,0.8445072833602283
12,0.46972752197136824,0.8776893604479812,0.8519039662339375
13,0.5448337681435212,0.8741526672561155,0.8270946447713313
14,0.4501174085297087,0.8933097553787209,0.872217224909586
