,precision,recall,f1-score,support
0,0.6423611111111112,0.5346820809248555,0.583596214511041,346.0
1,0.782991202346041,0.6282352941176471,0.6971279373368147,425.0
2,0.7915869980879541,0.8448979591836735,0.8173741362290227,490.0
3,0.908698001080497,0.9513574660633484,0.9295385465598232,1768.0
4,0.6801007556675063,0.7277628032345014,0.703125,371.0
accuracy,0.8288235294117647,0.8288235294117647,0.8288235294117647,0.8288235294117647
macro avg,0.7611476136586218,0.737387120704805,0.7461523669273403,3400.0
weighted avg,0.8240592002257567,0.8288235294117647,0.8244119163702809,3400.0
