,precision,recall,f1-score,support
0,0.3829113924050633,0.34971098265895956,0.36555891238670696,346.0
1,0.4520547945205479,0.31058823529411766,0.3682008368200837,425.0
2,0.6314102564102564,0.8040816326530612,0.7073608617594255,490.0
3,0.8313985627418463,0.8506787330316742,0.840928152082751,1768.0
4,0.44846796657381616,0.4339622641509434,0.4410958904109589,371.0
accuracy,0.68,0.68,0.68,0.68
macro avg,0.5492485945303061,0.5498043695577512,0.5446289306919851,3400.0
weighted avg,0.6677340969443767,0.68,0.6705832675944777,3400.0
