,precision,recall,f1-score,support
0,0.7003484320557491,0.5809248554913294,0.6350710900473934,346.0
1,0.7545219638242894,0.6870588235294117,0.7192118226600985,425.0
2,0.8532818532818532,0.9020408163265307,0.876984126984127,490.0
3,0.9063509149623251,0.9524886877828054,0.9288472145615003,1768.0
4,0.8285714285714286,0.7816711590296496,0.8044382801664355,371.0
accuracy,0.8555882352941176,0.8555882352941176,0.8555882352941176,0.8555882352941176
macro avg,0.808614918539129,0.7808368684319453,0.792910506883911,3400.0
weighted avg,0.850273211140621,0.8555882352941176,0.8516971533222478,3400.0
