,precision,recall,f1-score,support
0,0.5565217391304348,0.18497109826589594,0.27765726681127983,346.0
1,0.7064676616915423,0.3341176470588235,0.4536741214057508,425.0
2,0.6363636363636364,0.7428571428571429,0.6854990583804144,490.0
3,0.7734906945074898,0.9638009049773756,0.8582221102996727,1768.0
4,0.5792880258899676,0.48247978436657685,0.5264705882352941,371.0
accuracy,0.7214705882352941,0.7214705882352941,0.7214705882352941,0.7214705882352941
macro avg,0.6504263515166141,0.5416453155051629,0.5603046290264824,3400.0
weighted avg,0.7020796662560699,0.7214705882352941,0.6874802158134309,3400.0
