epoch,val_loss,val_acc,val_f1
1,1.511063763388881,0.5113468906572355,0.14554570895522387
2,1.4165820159293987,0.5113468906572355,0.14554570895522387
3,1.3076691875855129,0.5458296492779251,0.23692188413391213
4,1.0261115056497079,0.6091954022988506,0.3899463362122605
5,0.9948395981832787,0.6295313881520778,0.47146595033496097
6,0.8032767987913556,0.695844385499558,0.5969099758366054
7,0.7483321621462151,0.726790450928382,0.6166931129194507
8,0.7521304670307372,0.7347480106100795,0.6733140365710555
9,0.6476373040565738,0.7674624226348364,0.6963558490205921
10,0.7140890724129147,0.7624521072796935,0.7320536417320225
11,0.7228179092484491,0.7600943118184498,0.7015457845173038
12,0.6478486229424123,0.7883878573533746,0.7440277236446399
13,0.6251258379607288,0.8043029767167699,0.7885431288391028
14,0.5645526963527556,0.8211022693781315,0.779893301316821
15,0.5347767949828671,0.8452696728558797,0.7949651384294402
16,0.6326294139855437,0.8190391983495432,0.7959192744735023
17,0.5054598224383814,0.8535219569702328,0.8208368980390489
18,0.5669968965014925,0.8381962864721485,0.8105364416421288
19,0.6280685503173757,0.824638962569997,0.8060155345655479
20,0.6244601750815356,0.8337754199823165,0.8238191407493569
21,0.5387674471777346,0.8493958149130563,0.811493471590786
22,0.4991747865418869,0.865016209843796,0.8407128234742921
23,0.5173724244038264,0.8576480990274093,0.8539904092208863
24,0.5168443566395177,0.8632478632478633,0.8446800465481772
25,0.5164587455284264,0.8685529030356617,0.8526972117093157
26,0.5234622172321435,0.8664898320070734,0.8554349413776727
27,0.5442259347549191,0.8632478632478633,0.8474156769937047
28,0.5911698966390557,0.8644267609784851,0.8549992602326688
29,0.5142533934882118,0.8791629826112585,0.8615586746208579
30,0.5648206474466456,0.8641320365458296,0.8507183711288246
31,0.5435241607052309,0.865605658709107,0.850208677401886
32,0.4906795627127091,0.8874152667256116,0.8712137895780209
33,0.6041396613474246,0.860595343353964,0.8554094384630418
34,0.5558204397007271,0.8659003831417624,0.8625627442278052
35,0.5872786933625186,0.8659003831417624,0.8576094876898214
36,0.5805891218284766,0.8691423519009726,0.8664197520234915
37,0.5622975539967969,0.8756262894193929,0.8693698973034887
38,0.5358782550664963,0.8885941644562334,0.8773391722193906
39,0.6024716457490016,0.878868258178603,0.8598762455751582
40,0.5051208216248563,0.8930150309460654,0.8780810760725741
41,0.5791907709229875,0.8735632183908046,0.8632138336889945
42,0.6294716686976177,0.878868258178603,0.8747710526306572
