,precision,recall,f1-score,support
0,0.7306273062730627,0.5722543352601156,0.6418152350081038,346.0
1,0.7142857142857143,0.5882352941176471,0.6451612903225806,425.0
2,0.8952772073921971,0.889795918367347,0.8925281473899693,490.0
3,0.8841619682214249,0.9756787330316742,0.9276687281527293,1768.0
4,0.8504398826979472,0.7816711590296496,0.8146067415730337,371.0
accuracy,0.8526470588235294,0.8526470588235294,0.8526470588235294,0.8526470588235294
macro avg,0.8149584157740692,0.7615270879612867,0.7843560284892834,3400.0
weighted avg,0.845225254253089,0.8526470588235294,0.8458640660054725,3400.0
