epoch,val_loss,val_acc,val_f1
1,0.9933558779734152,0.6318891836133216,0.2947142182905456
2,0.6118097877198899,0.7653993516062482,0.6060340540741452
3,0.5157649758858261,0.8166814028882995,0.7376871811132443
4,0.4026525729719584,0.8532272325375774,0.7929050518762146
5,0.45209456595195524,0.8558797524314765,0.8010441730794142
6,0.4587644106855064,0.8561744768641321,0.7903536102708245
7,0.4358391449118412,0.8685529030356617,0.8365753944539773
8,0.4291778754774929,0.8773946360153256,0.8436744705793476
9,0.4499536009572222,0.8750368405540819,0.820324646344697
10,0.4513011092257565,0.8847627468317123,0.8563064604458972
11,0.4722717774593211,0.883878573533746,0.8406359067642711
12,0.4782869565813733,0.8741526672561155,0.8468008726551755
13,0.5519926746866851,0.8756262894193929,0.8283121185903007
14,0.45289877589729494,0.8944886531093428,0.8772367971475599
